OPPO R9s Plus,6.0.1,6
KNT-AL20,7.0,7
vivo X7,5.1.1,5
vivo X21,8.1.0,8
vivo X6D,5.1,5
vivo X6D,5.1,5
OPPO R9s Plus,6.0.1,6
Mi-4c,7.0,7
Mi-4c,7.0,7
Mi-4c,7.0,7
Mi-4c,7.0,7
vivo X7,5.1.1,5
vivo X20A,7.1.1,7
OPPO R9sk,6.0.1,6
KNT-AL20,7.0,7
vivo X6S A,5.1.1,5
PACM00,8.1.0,8
OPPO R9st,6.0.1,6
OPPO R9st,6.0.1,6
OPPO R7,4.4.4,4
vivo X20,7.1.1,7
MX5,5.1,5
ATU-AL10,8.0.0,8
CUN-AL00,5.1,5
vivo X9s,7.1.2,7
OPPO R9s Plus,6.0.1,6
vivo Y85A,8.1.0,8
HTC D816w,6.0,6
OPPO R7s,4.4.4,4
OPPO R7s,4.4.4,4
OPPO R7s,4.4.4,4
OPPO R7s,4.4.4,4
EML-AL00,8.1.0,8
vivo X20A,7.1.1,7
OPPO R7sm,5.1.1,5
M2017,6.0.1,6
PRO 6 Plus,7.0.0,7
vivo X9,7.1.2,7
OPPO R7,4.4.4,4
SM-G9350,7.0,7
ZTE U807,4.0.4,4
HUAWEI NXT-TL00,7.0,7
ZTE V0840,7.1.1,7
OPPO A37m,5.1,5
Redmi Note 3,5.0.2,5
ZTE U807,4.0.4,4
Redmi 3,5.1.1,5
Coolpad 9190L,4.3,4
NX563J,7.1.1,7
M5 Note,7.0,7
M5 Note,7.0,7
vivo Y67A,6.0,6
NX563J,7.1.1,7
M5 Note,7.0,7
1107,4.4.4,4
Coolpad 9190L,4.3,4
Coolpad 9190L,4.3,4
OPPO R7,4.4.4,4
Redmi Note 3,5.0.2,5
OPPO R7,4.4.4,4
Redmi 5A,7.1.2,7
M6 Note,7.1.2,7
Redmi 3,5.1.1,5
M6 Note,7.1.2,7
Coolpad 9190L,4.3,4
Redmi 3,5.1.1,5
HUAWEI TIT-CL00,5.1.1,5
FRD-AL00,7.0,7
HUAWEI NXT-AL10,7.0,7
HUAWEI NXT-AL10,7.0,7
Redmi 3,5.1.1,5
FRD-AL00,7.0,7
1107,4.4.4,4
HTC D816w,6.0,6
OPPO R9km,5.1,5
OPPO R9km,5.1,5
OPPO R7s,4.4.4,4
R8207,4.4.4,4
G621-TL00,4.4.4,4
vivo V3Max A,5.1.1,5
vivo V3Max A,5.1.1,5
OPPO R7,4.4.4,4
vivo X7,5.1.1,5
vivo X9s,7.1.2,7
vivo X20Plus A,7.1.1,7
OPPO R7sm,5.1.1,5
G621-TL00,4.4.4,4
MI 6,7.1.1,7
OPPO R7,4.4.4,4
vivo X9s L,7.1.2,7
OPPO R9tm,5.1,5
vivo Y67A,6.0,6
ZTE U807,4.0.4,4
ANE-AL00,8.0.0,8
HTC D816w,6.0,6
FRD-AL10,7.0,7
HTC D816t,4.4.2,4
KNT-AL20,7.0,7
HTC D816t,4.4.2,4
OC105,7.1.2,7
OC105,7.1.2,7
OPPO R7sm,5.1.1,5
Redmi 3,5.1.1,5
Coolpad 9190L,4.3,4
Coolpad 9190L,4.3,4
OPPO R7,4.4.4,4
OPPO R7,4.4.4,4
ZTE U807,4.0.4,4
Coolpad 9190L,4.3,4
SM-G9350,7.0,7
HTC D816t,4.4.2,4
OPPO A57t,6.0.1,6
OPPO A57t,6.0.1,6
vivo X7,5.1.1,5
Redmi 3,5.1.1,5
Redmi 3,5.1.1,5
NX563J,7.1.1,7
HUAWEI TIT-CL00,5.1.1,5
KNT-AL20,7.0,7
20170608S,6.0,6
HTC D816t,4.4.2,4
HWI-AL00,8.0.0,8
ZTE U807,4.0.4,4
HWI-AL00,8.0.0,8
vivo X7,5.1.1,5
OPPO A53m,5.1.1,5
MX4 Pro,5.1.1,5
HUAWEI TIT-CL00,5.1.1,5
vivo X7,5.1.1,5
MX5,5.1,5
MX5,5.1,5
M6 Note,7.1.2,7
Coolpad 9190L,4.3,4
ZTE V0840,7.1.1,7
MX4 Pro,5.1.1,5
VTR-AL00,8.0.0,8
NX563J,7.1.1,7
FIG-TL10,8.0.0,8
Coolpad 9190L,4.3,4
Coolpad 9190L,4.3,4
20170608S,6.0,6
Redmi 5A,7.1.2,7
Coolpad 9190L,4.3,4
Coolpad 9190L,4.3,4
Coolpad 9190L,4.3,4
Redmi 3,5.1.1,5
vivo X7,5.1.1,5
Redmi Note 3,5.0.2,5
OPPO R9s Plus,6.0.1,6
OPPO R9s Plus,6.0.1,6
OPPO R9s Plus,6.0.1,6
KNT-AL20,7.0,7
Redmi 3,5.1.1,5
vivo X7,5.1.1,5
OPPO A33m,5.1.1,5
OPPO R9s Plus,6.0.1,6
OPPO A33m,5.1.1,5
OPPO R7,4.4.4,4
Redmi 3,5.1.1,5
MX4 Pro,5.1.1,5
VIE-AL10,7.0,7
VIE-AL10,7.0,7
vivo X21i,8.1.0,8
OPPO R7,4.4.4,4
OPPO R9s,6.0.1,6
OPPO R7sm,5.1.1,5
vivo Y66L,6.0.1,6
vivo Y66L,6.0.1,6
PRO 6 Plus,7.0.0,7
vivo X20A,7.1.1,7
vivo X20A,7.1.1,7
vivo X20A,7.1.1,7
vivo X20A,7.1.1,7
vivo X20A,7.1.1,7
vivo X20A,7.1.1,7
vivo X20A,7.1.1,7
vivo X20A,7.1.1,7
vivo X20A,7.1.1,7
vivo X20A,7.1.1,7
vivo X20A,7.1.1,7
vivo X20A,7.1.1,7
vivo X20A,7.1.1,7
vivo X20A,7.1.1,7
vivo X20A,7.1.1,7
MIX,7.0,7
MIX,7.0,7
vivo X7,5.1.1,5
vivo X7,5.1.1,5
PRO 6 Plus,7.0.0,7
OPPO R9tm,5.1,5
vivo Y67A,6.0,6
OPPO R7sm,5.1.1,5
OPPO A59m,5.1,5
OPPO A59m,5.1,5
JMM-AL10,7.0,7
JMM-AL10,7.0,7
M6 Note,7.1.2,7
HUAWEI CAZ-AL10,7.0,7
HUAWEI CAZ-AL10,7.0,7
HUAWEI CAZ-AL10,7.0,7
OPPO R7,4.4.4,4
Redmi 3,5.1.1,5
M6 Note,7.1.2,7
OPPO R9tm,5.1,5
HTC D816w,6.0,6
20170608S,6.0,6
HUAWEI NXT-AL10,7.0,7
HUAWEI NXT-AL10,7.0,7
Coolpad 9190L,4.3,4
Coolpad 9190L,4.3,4
Coolpad 9190L,4.3,4
vivo Y67A,6.0,6
Coolpad 9190L,4.3,4
Coolpad 9190L,4.3,4
ZTE U807,4.0.4,4
ZTE U807,4.0.4,4
ZTE U807,4.0.4,4
FRD-AL10,7.0,7
FRD-AL10,7.0,7
FRD-AL10,7.0,7
FRD-AL10,7.0,7
FRD-AL10,7.0,7
OPPO R9s Plus,6.0.1,6
OPPO R9tm,5.1,5
vivo X7,5.1.1,5
KNT-AL20,7.0,7
vivo X20,7.1.1,7
vivo X7,5.1.1,5
20170608S,6.0,6
Che2-TL00M,4.4.2,4
Coolpad 9190L,4.3,4
vivo X20A,7.1.1,7
OPPO R7sm,5.1.1,5
Coolpad 9190L,4.3,4
HTC D816t,4.4.2,4
ZTE U807,4.0.4,4
vivo X9,7.1.2,7
vivo X9,7.1.2,7
ZTE U807,4.0.4,4
OPPO R11,7.1.1,7
OPPO R11,7.1.1,7
OPPO R11,7.1.1,7
OPPO R11,7.1.1,7
OPPO R11,7.1.1,7
OPPO R11,7.1.1,7
OPPO R11,7.1.1,7
ZTE U807,4.0.4,4
OPPO R9s Plus,6.0.1,6
OPPO R9s Plus,6.0.1,6
OPPO R9s Plus,6.0.1,6
vivo Y67A,6.0,6
Coolpad 9190L,4.3,4
Coolpad 9190L,4.3,4
OPPO R11,7.1.1,7
OPPO R11,7.1.1,7
Coolpad 9190L,4.3,4
Coolpad 9190L,4.3,4
MX4 Pro,5.1.1,5
Mi Note 3,7.1.1,7
NX563J,7.1.1,7
OPPO R9s,6.0.1,6
OPPO R7sm,5.1.1,5
vivo X7,5.1.1,5
vivo X9s Plus,7.1.2,7
vivo X9s Plus,7.1.2,7
vivo X9s Plus,7.1.2,7
vivo X9s Plus,7.1.2,7
OPPO R7sm,5.1.1,5
vivo X7,5.1.1,5
MIX,7.0,7
MIX,7.0,7
KNT-AL20,7.0,7
vivo X7,5.1.1,5
vivo X7,5.1.1,5
vivo X9s,7.1.2,7
G621-TL00,4.4.4,4
JMM-AL10,7.0,7
JMM-AL10,7.0,7
vivo Y66,6.0.1,6
vivo Y66,6.0.1,6
M5 Note,7.0,7
OPPO R9s Plus,6.0.1,6
OPPO R7,4.4.4,4
OPPO R7sm,5.1.1,5
PRO 6 Plus,7.0.0,7
OPPO A59m,5.1,5
Hisense F23,6.0.1,6
OPPO R7,4.4.4,4
Mi Note 3,7.1.1,7
Mi Note 3,7.1.1,7
Mi Note 3,7.1.1,7
Mi Note 3,7.1.1,7
Redmi 3,5.1.1,5
KNT-AL20,7.0,7
vivo X6S A,5.1.1,5
OPPO A53m,5.1.1,5
MIX 2,8.0.0,8
vivo X7,5.1.1,5
OPPO R7sm,5.1.1,5
vivo X7,5.1.1,5
vivo X7,5.1.1,5
vivo X7,5.1.1,5
OPPO R7sm,5.1.1,5
Redmi 3,5.1.1,5
KNT-AL20,7.0,7
20170608S,6.0,6
20170608S,6.0,6
20170608S,6.0,6
Coolpad 9190L,4.3,4
Coolpad 9190L,4.3,4
Coolpad 9190L,4.3,4
OPPO R7sm,5.1.1,5
Coolpad 9190L,4.3,4
Coolpad 9190L,4.3,4
Coolpad 9190L,4.3,4
Coolpad 9190L,4.3,4
vivo X6S A,5.1.1,5
vivo X6S A,5.1.1,5
vivo X6S A,5.1.1,5
MX4 Pro,5.1.1,5
M6 Note,7.1.2,7
M6 Note,7.1.2,7
PLK-TL01H,6.0,6
Redmi 3,5.1.1,5
MX4 Pro,5.1.1,5
M5 Note,7.0,7
Redmi 3,5.1.1,5
MX4 Pro,5.1.1,5
M6 Note,7.1.2,7
vivo X20A,7.1.1,7
vivo X20A,7.1.1,7
vivo X20A,7.1.1,7
vivo X7,5.1.1,5
OPPO R9s Plus,6.0.1,6
OPPO R9s Plus,6.0.1,6
OPPO R9s Plus,6.0.1,6
Redmi 5A,7.1.2,7
PRO 6 Plus,7.0.0,7
vivo X7,5.1.1,5
MX4 Pro,5.1.1,5
HUAWEI CAZ-AL10,7.0,7
OPPO R9s Plus,6.0.1,6
MX4 Pro,5.1.1,5
NX563J,7.1.1,7
Redmi 3,5.1.1,5
PACM00,8.1.0,8
ZTE U807,4.0.4,4
SM-G9350,6.0.1,6
SM-G9350,6.0.1,6
SM-G9350,6.0.1,6
SM-G9350,6.0.1,6
Redmi 3,5.1.1,5
OPPO R9s,6.0.1,6
PRO 6 Plus,7.0.0,7
vivo X20,7.1.1,7
vivo X9,7.1.2,7
vivo X9Plus,7.1.2,7
1107,4.4.4,4
G621-TL00,4.4.4,4
M2017,6.0.1,6
M2017,6.0.1,6
M2017,6.0.1,6
OPPO R7,4.4.4,4
Redmi 5A,7.1.2,7
Redmi 5A,7.1.2,7
vivo X7,5.1.1,5
OC105,7.1.2,7
OC105,7.1.2,7
OC105,7.1.2,7
OC105,7.1.2,7
OPPO R9s Plus,6.0.1,6
OPPO R9s Plus,6.0.1,6
OPPO R9s Plus,6.0.1,6
OPPO R9s Plus,6.0.1,6
OPPO R9s Plus,6.0.1,6
OPPO R9s Plus,6.0.1,6
OPPO R9s Plus,6.0.1,6
vivo Y67,6.0,6
Redmi 5A,7.1.2,7
Redmi 5A,7.1.2,7
OPPO R9s,6.0.1,6
OPPO R9s,6.0.1,6
OPPO R9s,6.0.1,6
NX563J,7.1.1,7
ZTE U807,4.0.4,4
ZTE U807,4.0.4,4
SM-G9350,7.0,7
MX4 Pro,5.1.1,5
Redmi 5A,7.1.2,7
Redmi 5A,7.1.2,7
Redmi 5A,7.1.2,7
Redmi 5A,7.1.2,7
NX563J,7.1.1,7
NX563J,7.1.1,7
Redmi 5A,7.1.2,7
vivo X7,5.1.1,5
Redmi 5A,7.1.2,7
Redmi 5A,7.1.2,7
OPPO R9s Plus,6.0.1,6
Redmi 5A,7.1.2,7
Redmi 5A,7.1.2,7
MX5,5.1,5
Redmi 5A,7.1.2,7
ZTE U807,4.0.4,4
Redmi 5A,7.1.2,7
Redmi 5A,7.1.2,7
Redmi 5A,7.1.2,7
Redmi 5A,7.1.2,7
vivo X20A,7.1.1,7
ZTE U807,4.0.4,4
MX4 Pro,5.1.1,5
Coolpad 9190L,4.3,4
Coolpad 9190L,4.3,4
Coolpad 9190L,4.3,4
